ID,Codigo,Link,Nombre,Descripcion/Obervaciones,Tipo,ProcedenciaOC,EsTratoDirecto,EsCompraAgil,CodigoTipo,CodigoAbreviadoTipoOC,DescripcionTipoOC,codigoEstado,Estado,codigoEstadoProveedor,EstadoProveedor,FechaCreacion,FechaEnvio,FechaSolicitudCancelacion,fechaUltimaModificacion,FechaAceptacion,FechaCancelacion,tieneItems,PromedioCalificacion,CantidadEvaluacion,MontoTotalOC,TipoMonedaOC,MontoTotalOC_PesosChilenos,Impuestos,TipoImpuesto,Descuentos,Cargos,TotalNetoOC,CodigoUnidadCompra,RutUnidadCompra,UnidadCompra,CodigoOrganismoPublico,OrganismoPublico,sector,ActividadComprador,CiudadUnidadCompra,RegionUnidadCompra,PaisUnidadCompra,CodigoSucursal,RutSucursal,Sucursal,CodigoProveedor,NombreProveedor,ActividadProveedor,ComunaProveedor,RegionProveedor,PaisProveedor,Financiamiento,PorcentajeIva,Pais,TipoDespacho,FormaPago,CodigoLicitacion,Codigo_ConvenioMarco,IDItem,codigoCategoria,Categoria,codigoProductoONU,NombreroductoGenerico,RubroN1,RubroN2,RubroN3,EspecificacionComprador,EspecificacionProveedor,cantidad,UnidadMedida,monedaItem,precioNeto,totalCargos,totalDescuentos,totalImpuestos,totalLineaNeto,Forma de Pago
48544594,699866-4284-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=699866-4284-SE23,699866-51-lq23/2204003002/determinaciones del mes junio/junio,Regulariza determinaciones del mes de mayo de 2023. Según memorándum N° 87 referencia N°4456724 T.M Carolina Diaz Ponce. Jefe unidad de laboratorio Clínico.,SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,19-07-2023,15-04-2024,11-10-2023,19-07-2023,18-04-2024,,1,"44,84,21,05,26,31,579",19,13659058,CLP,13659058,2180858,IVA,0,0,11478200,699866,61.606.901-2,Insumos Clínicos,7260,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,Salud,Salud,Talca,Región del Maule,CL,39668,93.020.000-k,TECNIGEN S.A.,39084,TECNIGEN S.A.,VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA,Ñuñoa,Región Metropolitana de Santiago,Chile,,19,CL,7,48,699866-51-LQ23,,129813432,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos,41116005,Reactivos de analizadores de coagulación,Equipamiento para laboratorios,Instrumentos de medida y experimentación,Reactivos de analizadores clínicos y diagnósticos,FACTOR VIII,FACTOR VIII,40,Unidad no definida,CLP,6300,0,0,0,252000,
48544594,699866-4284-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=699866-4284-SE23,699866-51-lq23/2204003002/determinaciones del mes junio/junio,Regulariza determinaciones del mes de mayo de 2023. Según memorándum N° 87 referencia N°4456724 T.M Carolina Diaz Ponce. Jefe unidad de laboratorio Clínico.,SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,19-07-2023,15-04-2024,11-10-2023,19-07-2023,18-04-2024,,1,"44,84,21,05,26,31,579",19,13659058,CLP,13659058,2180858,IVA,0,0,11478200,699866,61.606.901-2,Insumos Clínicos,7260,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,Salud,Salud,Talca,Región del Maule,CL,39668,93.020.000-k,TECNIGEN S.A.,39084,TECNIGEN S.A.,VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA,Ñuñoa,Región Metropolitana de Santiago,Chile,,19,CL,7,48,699866-51-LQ23,,129813436,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos,41116005,Reactivos de analizadores de coagulación,Equipamiento para laboratorios,Instrumentos de medida y experimentación,Reactivos de analizadores clínicos y diagnósticos,FACTOR VII,FACTOR VII,2,Unidad no definida,CLP,9500,0,0,0,19000,
48859275,699866-5455-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=699866-5455-SE23,699866-51-lq23/2204003002/determinaciones del mes,Regulariza determinaciones del mes de julio de 2023. Según memorándum N° 124 referencia N°4515297 T.M Carolina Diaz Ponce. Jefe unidad de laboratorio Clínico.,SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,06-09-2023,15-04-2024,26-12-2023,26-12-2023,18-04-2024,,1,"44,84,21,05,26,31,579",19,"5019788,9",CLP,"5019788,9","801478,9",IVA,0,0,4218310,699866,61.606.901-2,Insumos Clínicos,7260,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,Salud,Salud,Talca,Región del Maule,CL,39668,93.020.000-k,TECNIGEN S.A.,39084,TECNIGEN S.A.,VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA,Ñuñoa,Región Metropolitana de Santiago,Chile,,19,CL,7,2,699866-51-LQ23,,130738202,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos,41116005,Reactivos de analizadores de coagulación,Equipamiento para laboratorios,Instrumentos de medida y experimentación,Reactivos de analizadores clínicos y diagnósticos,FACTOR VIII,FACTOR VIII,5,Unidad no definida,CLP,6300,0,0,0,31500,30 dias contra la recepcion conforme de la factura
48859275,699866-5455-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=699866-5455-SE23,699866-51-lq23/2204003002/determinaciones del mes,Regulariza determinaciones del mes de julio de 2023. Según memorándum N° 124 referencia N°4515297 T.M Carolina Diaz Ponce. Jefe unidad de laboratorio Clínico.,SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,06-09-2023,15-04-2024,26-12-2023,26-12-2023,18-04-2024,,1,"44,84,21,05,26,31,579",19,"5019788,9",CLP,"5019788,9","801478,9",IVA,0,0,4218310,699866,61.606.901-2,Insumos Clínicos,7260,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,Salud,Salud,Talca,Región del Maule,CL,39668,93.020.000-k,TECNIGEN S.A.,39084,TECNIGEN S.A.,VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA,Ñuñoa,Región Metropolitana de Santiago,Chile,,19,CL,7,2,699866-51-LQ23,,130738206,41116000,Equipamiento para laboratorios / Instrumentos de medida y experimentación / Reactivos de analizadores clínicos y diagnósticos,41116005,Reactivos de analizadores de coagulación,Equipamiento para laboratorios,Instrumentos de medida y experimentación,Reactivos de analizadores clínicos y diagnósticos,FACTOR VII,FACTOR VII,1,Unidad no definida,CLP,9500,0,0,0,9500,30 dias contra la recepcion conforme de la factura
48911725,1058085-3237-SE23,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058085-3237-SE23,TERIFLUNOMIDA 14 MG COMPRIMIDO.,"1058085-164-LE23 CONVENIO SUMINISTRO DE TERIFLUNOMIDA COMPRIMIDO PARA EL HOSPITAL DEL SALVADOR. DESPACHOS PARCIALIZADOS. FECHAS Y CANTIDADES A ENTREGAR SERAN SOLICITADAS POR CORREO ELECTRONICO DESDE LOGISTICA. DEBE ACEPTAR O NO LA O/C, DENTRO DE LAS 48 HRS DE SU EMISIÓN. HORARIO DE ATENCION BODEGA DE MEDICAMENTOS E INSUMOS CLINICOS, DE LUNES A VIERNES DE 08:00 A 13:00 HRS. NO SE RECEPCIONARAN PEDIDOS QUE NO HAN SIDO SOLICITADOS POR LOGISTICA O QUE VENGAN FUERA DE HORARIO. PARA CONSULTAS COMUNICARSE AL CORREO: BODEGALOGISTICA@HSALVADOR.CL, TELEFONO: 2 2 5753832 TODAS LAS FACTURAS DEBEN SER EMITIDAS DETALLANDO CORRECTAMENTE EL ID DE LA ORDEN DE COMPRA DE MERCADO PUBLICO Y DEBEN ENVIARSE A LA CASILLA DIPRESRECEPCION @CUSTODIUM.COM SE RECLAMARA TODA FACTURA QUE NO CUMPLE CON ESTA INDICACION Y QUE NO CUENTAN CON RECEPCION CONFORME ANTES DE 7 DIAS CORRIDOS A PARTIR DE LA FECHA DE EMISION. REA 4234, 05-09-2023 X 12 MESES",SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,22-09-2023,03-04-2024,03-04-2024,03-04-2024,04-04-2024,,1,4,1,799680,CLP,799680,127680,IVA,0,0,672000,1058085,61.608.406-2,Fármarcos,7428,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,Salud,Servicio Público,Providencia,Región Metropolitana de Santiago,CL,760150,76.296.704-9,LABORATORIOS RICHMOND CHILE LTDA,1358487,LABORATORIOS RICHMOND CHILE LIMITADA,Laboratorio Farmaceutico,La Reina,Región Metropolitana de Santiago,Chile,,19,CL,12,2,1058085-164-LE23,,130882255,51111700,Medicamentos y productos farmacéuticos / Agentes antitumorales / Antibióticos antineoplásticos,51111716,Rituximab,Medicamentos y productos farmacéuticos,Agentes antitumorales,Antibióticos antineoplásticos,3002140141 TERIFLUNOMIDA 14 MG COMPRIMIDO,"TERIFLUNOMIDA 14 mg. Comprimidos Recubiertos. Nombre Comercial: TERINTRA. Administración Oral. 24 meses de eficacia. Fabricado por LAB. RICHMOND S.A.C.I.F., Argentina. Registro ISP F-2532220. Caja por 28 comprimidos.",84,Comprimido,CLP,8000,0,0,0,672000,30 dias contra la recepcion conforme de la factura
49702001,1058128-143-SE24,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058128-143-SE24,pedido HPM,ID 1058128-4-LQ23 REPOSICION KM DESPACHAR VENCIMIENTO SUPERIOR A 12 MESES,SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,15-01-2024,10-04-2024,15-01-2024,15-01-2024,10-04-2024,,1,"46,58,82,35,29,41,177",17,"1158952,9",CLP,"1158952,9","185042,9",IVA,0,0,973910,1058128,61.975.100-0,Fármarcos,127018,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,Salud,Servicio Público,Puerto Montt,Región de los Lagos,CL,24160,83.002.400-k,NOVARTIS CHILE S A,24535,NOVARTIS CHILE S A,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS",Las Condes,Región Metropolitana de Santiago,Chile,1230,19,CL,12,2,1058128-4-LQ23,,133141941,51201900,Medicamentos y productos farmacéuticos / Medicamentos inmunomoduladores / Agentes de la esclerosis múltiple (EM),51201901,Acetato de glatiramer,Medicamentos y productos farmacéuticos,Medicamentos inmunomoduladores,Agentes de la esclerosis múltiple (EM),"1140084 FINGOLIMOD 0,5 MG COMPRIMIDO EN BLISTER",735932 GILENYA HGC 0.5MG 2X14 REG ISP F-1855721. Condición de Pago 30 días,70,Unidad,CLP,13913,0,0,0,973910,30 dias contra la recepcion conforme de la factura
49814554,621-159-SE24,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=621-159-SE24,621-655-SC23; 4500033193,"Señor Proveedor, se le recuerda que la Orden de Compra debe ser aceptada dentro del plazo de 2 días hábiles desde su emisión. Se adjuntan: Términos de referencia Resolución que autoriza y aprueba el contrato. Refrendación Presupuestaria",SE,Si solo existe un proveedor del bien o servicio,Si,No,8,SE,Sin emisión automática,6,Aceptada,4,Aceptada,02-02-2024,16-04-2024,16-04-2024,16-04-2024,16-04-2024,,1,"4,2",5,7247100000,CLP,7247100000,1157100000,IVA,0,0,"6,09e+09",1617,61.608.700-2,Compras del Giro 621,6957,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,Salud,,Ñuñoa,Región Metropolitana de Santiago,CL,13784,59.043.540-6,MERCK SHARP & DOHME (I. A.) LLC Agencia en Chile,14621,"MERCK SHARP & DOHME (I.A) LLC,AGENCIA EN CHILE","FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS",Las Condes,Región Metropolitana de Santiago,Chile,,19,CL,9,2,,,134840994,51111700,Medicamentos y productos farmacéuticos / Agentes antitumorales / Antibióticos antineoplásticos,51111717,Trastuzumab,Medicamentos y productos farmacéuticos,Agentes antitumorales,Antibióticos antineoplásticos,"PEMBROLIZUMAB 100 MG/4ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVE NOSA, FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLA BILIDAD DEL CONTENIDO.COTIZAR POR FRASCO AMPOLLA.","PEMBROLIZUMAB 100 MG/4ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVE NOSA, FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLA BILIDAD DEL CONTENIDO.COTIZAR POR FRASCO AMPOLLA.",3500,Unidad,CLP,1740000,0,0,0,6090000000,30 dias contra la recepcion conforme de la factura
49898785,2069-1883-SE24,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2069-1883-SE24,SAR-CP-042024-PROGRAMA ABRIL FARMACOS-LP,"PROGRAMA MEDICAMENTOS ABRIL 2024 DESPACHO PARCIALIZADO 50 SEMANALES DESDE RECIBIDA LA OC 1. Despachar a BODEGA CENTRAL. Obligatorio traer Orden de Compra IMPRESA y en Estado ACEPTADA 2. HORARIO: ** Lunes a Viernes 8:30 a 13:00 y de 14:30 a 16:00 Hrs. Productos refrigerados se reciben hasta las 13:00.** 3. Factura y/o Guía debe incluir lote y vencimiento de productos (vencimientos inferiores a 12 meses deben ser validados previo al despacho con comprador respectivo vía mail) 4. Factura electrónica enviar a: ""dipresrecepcion@custodium.com"" y recepcionfacturaelectronica.cabl@redsalud.gov.cl"" adjuntar OC en estado ""ACEPTADA"" y guía con recepción conforme. 5. Pago Proveedores: 25763076 - 25762900 - 25763038 - 25763054 - 25763165 ó 25763075 6. Proveedor debe traer sus propios implementos y herramientas para el transporte y distribución de productos 7. Traer 1 copia de la factura (bodega)",SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,17-02-2024,04-04-2024,15-03-2024,15-03-2024,04-04-2024,,1,0,0,1416100,CLP,1416100,226100,IVA,0,0,1190000,3064,61.608.101-2,HOSPITAL BARROS LUCO TRUDEAU,7293,SERVICIO DE SALUD METROPOLITANO SUR HOSP,Salud,HOSPITALES Y CLINICAS,San Miguel,Región Metropolitana de Santiago,CL,197546,78.350.440-5,CESFAR LTDA,193575,CESFAR LTDA,FARMACIAS INDEPENDIENTES,Providencia,Región Metropolitana de Santiago,Chile,2751,19,CL,7,2,2069-48-LE23,,133733816,85121900,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Farmacéuticos",85121901,Recetarios magistrales,"Salud, servicios sanitarios y alimentación",Medicina y servicios de salud,Farmacéuticos,2190031 BEVACIZUMAB 1.25/0.05ML JERINGA PRELLENADA,BEVACIZUMAB 1.25/0.05ML JERINGA PRELLENADA,50,Unidad,CLP,23800,0,0,0,1190000,30 dias contra la recepcion conforme de la factura
50033546,1058141-434-SE24,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058141-434-SE24,(JGR) PEDIDO EXTRA FARMACIA PNH 12175 NIVOLUMAB FA," PEDIDO EXTRA FARMACIA PNH 12175  fecha de entrega ((10/04/2024)) bodega de farmacia.  despachar con guía y enviar factura contra recepción conforme en portal mercado público.  horario de entrega en bodegas lunes a jueves: 9:00 a 16:00, viernes: 9: a 15.00 hrs.  revisar condiciones de incumplimientos y multas.  envió de la factura, el proveedor deberá enviar el archivo en formato xml a la casilla: dipresrecepcion@custodium.com (el no envió origina el rechazo automático a las 72 hrs.  Pago de www.hospitalcarlosvanburen.cl, link http://estadofacturas.hospitalcarlosvanburen.cl/",SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,12-03-2024,08-04-2024,23-03-2024,11-04-2024,11-04-2024,,1,5,1,"14551162,92",CLP,"14551162,92","2323294,92",IVA,0,0,12227868,1058141,61.602.054-4,Fármarcos,1468521,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,Salud,Servicio Público,Valparaíso,Región de Valparaíso,CL,26655,92.363.000-7,BRISTOL MYERS SQUIBB DE CHILE AGENC DE E R SQUIBB,26847,BRISTOL MYERS SQUIBB DE CHILE AGENC DE E R SQUIBB & SONS INTERAM CORPO,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS",Las Condes,Región Metropolitana de Santiago,Chile,,19,CL,7,2,1058141-3-LQ22,,134154876,51111700,Medicamentos y productos farmacéuticos / Agentes antitumorales / Antibióticos antineoplásticos,51111705,Mitotan,Medicamentos y productos farmacéuticos,Agentes antitumorales,Antibióticos antineoplásticos,NIVOLUMAB FA 100 MG SOLUCIÓN [4006015],OPDIVO 100 MG NIVOLUMAB,12,Frasco Ampolla,CLP,849158,0,0,0,10189896,30 dias contra la recepcion conforme de la factura
50033546,1058141-434-SE24,http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058141-434-SE24,(JGR) PEDIDO EXTRA FARMACIA PNH 12175 NIVOLUMAB FA," PEDIDO EXTRA FARMACIA PNH 12175  fecha de entrega ((10/04/2024)) bodega de farmacia.  despachar con guía y enviar factura contra recepción conforme en portal mercado público.  horario de entrega en bodegas lunes a jueves: 9:00 a 16:00, viernes: 9: a 15.00 hrs.  revisar condiciones de incumplimientos y multas.  envió de la factura, el proveedor deberá enviar el archivo en formato xml a la casilla: dipresrecepcion@custodium.com (el no envió origina el rechazo automático a las 72 hrs.  Pago de www.hospitalcarlosvanburen.cl, link http://estadofacturas.hospitalcarlosvanburen.cl/",SE,Proveniente de licitación pública,No,No,8,SE,Sin emisión automática,12,Recepcion Conforme,7,Recepcion Conforme,12-03-2024,08-04-2024,23-03-2024,11-04-2024,11-04-2024,,1,5,1,"14551162,92",CLP,"14551162,92","2323294,92",IVA,0,0,12227868,1058141,61.602.054-4,Fármarcos,1468521,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,Salud,Servicio Público,Valparaíso,Región de Valparaíso,CL,26655,92.363.000-7,BRISTOL MYERS SQUIBB DE CHILE AGENC DE E R SQUIBB,26847,BRISTOL MYERS SQUIBB DE CHILE AGENC DE E R SQUIBB & SONS INTERAM CORPO,"FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS",Las Condes,Región Metropolitana de Santiago,Chile,,19,CL,7,2,1058141-3-LQ22,,134154877,51111700,Medicamentos y productos farmacéuticos / Agentes antitumorales / Antibióticos antineoplásticos,51111705,Mitotan,Medicamentos y productos farmacéuticos,Agentes antitumorales,Antibióticos antineoplásticos,NIVOLUMAB FA 40 MG SOLUCIÓN [4006018],OPDIVO 40 MG NIVOLUMAB,6,Frasco Ampolla,CLP,339662,0,0,0,2037972,30 dias contra la recepcion conforme de la factura
